FECHA DE INGRESO,FECHA ULTIMO REGISTRO,Estatus,Días Laborados,FECHA DE NACIMIENTO,No de Crédito Infonavit,PUESTO,AREA,TURNO,MUNICIPIO,SALARIO MENSUAL,ESCOLARIDAD,GENERO,Tipo de renuncia
2022-11-14,2023-04-09,baja,146,1998-04-05 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,MASCULINO,ABANDONO
2022-03-31,2022-08-28,baja,150,1998-06-03 00:00:00,NO,MONTACARGUISTA,ALMACEN,B,TALA,11250.0,PREPARATORIA,MASCULINO,VOLUNTARIA
2023-07-22,2023-12-22,baja,153,1991-01-23 06:10:00,NO,OP PRENSA,PRENSA,A,TALA,7705.711805555556,PREPARATORIA_TRUNCA,FEMENINO,BAJA
2022-02-06,2022-07-14,baja,158,1974-09-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,8100.0,SECUNDARIA,FEMENINO,ABANDONO
2022-01-31,2022-07-12,baja,162,1982-02-19 00:00:00,NO,MECANICO,MANTENIMIENTO,ROLA,TALA,13200.0,INGENIERO,MASCULINO,BAJA
2021-11-30,2022-06-05,baja,187,1993-09-22 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,MASCULINO,BAJA
2022-03-14,2022-09-18,baja,188,1973-05-14 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-09-07,2023-03-30,baja,204,2001-04-26 00:00:00,NO,MONTACARGUISTA,ALMACEN,A,ZAMORA,9000.0,PREPARATORIA,MASCULINO,BAJA
2022-11-07,2023-06-01,baja,206,1991-01-23 06:10:00,SI,OP PRODUCCION,PRODUCCION,A,TALA,7705.711805555556,SIN_ESTUDIOS,FEMENINO,BAJA
2022-07-04,2023-01-28,baja,208,1995-08-22 00:00:00,NO,AUXILIAR ALMACEN,ALMACEN,A,CD GUZMAN,8400.0,PREPARATORIA,MASCULINO,BAJA
2022-10-01,2023-05-04,baja,215,2002-06-12 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,MASCULINO,BAJA
2022-05-16,2022-12-18,baja,216,1997-12-24 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-09-26,2023-05-04,baja,220,2002-06-12 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6600.0,SECUNDARIA,MASCULINO,BAJA
2022-02-21,2022-10-03,baja,224,1965-07-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,FEMENINO,ABANDONO
2022-01-23,2022-09-04,baja,224,1978-10-17 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,FEMENINO,ABANDONO
2021-12-20,2022-08-03,baja,226,2002-09-11 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,6000.0,SECUNDARIA,MASCULINO,BAJA
2023-03-21,2023-11-08,baja,232,1988-11-09 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,8400.0,SECUNDARIA,FEMENINO,ABANDONO
2023-03-21,2023-11-08,baja,232,1991-01-23 06:10:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,7705.711805555556,SIN_ESTUDIOS,MASCULINO,ABANDONO
2021-11-14,2022-07-14,baja,242,1974-09-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PRIMARIA,FEMENINO,ABANDONO
2022-05-16,2023-02-04,baja,264,1999-03-28 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2021-12-20,2022-09-11,baja,265,1993-08-17 00:00:00,SI,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2022-05-01,2023-01-26,baja,270,2003-03-09 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,6000.0,PREPARATORIA,FEMENINO,BAJA
2022-01-03,2022-10-03,baja,273,1996-08-05 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,ABANDONO
2021-12-20,2022-10-03,baja,287,1992-12-03 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,EL ARENAL,6000.0,SECUNDARIA,FEMENINO,ABANDONO
2022-04-25,2023-02-12,baja,293,1975-12-17 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-01-16,2022-11-13,baja,301,2002-09-19 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-03-23,2023-01-22,baja,305,2001-02-09 00:00:00,NO,OP PRENSA,PRENSA,C,EL ARENAL,6600.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2022-03-17,2023-01-22,baja,311,1998-10-31 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-03-17,2023-01-23,baja,312,2000-07-19 00:00:00,SI,MONTACARGUISTA,ALMACEN,C,TALA,11250.0,PRIMARIA,MASCULINO,VOLUNTARIA
2023-01-30,2024-01-08,baja,343,1986-11-29 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-12-12,2023-12-08,baja,361,1970-09-23 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,VOLUNTARIA
2022-12-20,2023-12-24,baja,369,1992-09-23 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,EL ARENAL,8100.0,PREPARATORIA_TECNICA,MASCULINO,ABANDONO
2022-04-18,2023-05-04,baja,381,1991-01-23 06:10:00,NO,OP PRENSA,PRENSA,B,TALA,7705.711805555556,SIN_ESTUDIOS,MASCULINO,BAJA
2022-10-01,2023-10-29,baja,393,1997-12-14 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,EL ARENAL,6000.0,PREPARATORIA_TRUNCA,MASCULINO,VOLUNTARIA
2021-12-20,2023-01-31,baja,407,1973-09-04 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,MASCULINO,VOLUNTARIA
2022-03-07,2023-04-21,baja,410,1979-07-07 00:00:00,SI,OP PRENSA,PRENSA,C,TLAJOMULCO,15000.0,PRIMARIA,MASCULINO,VOLUNTARIA
2021-11-22,2023-01-13,baja,417,1979-05-27 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,ABANDONO
2022-01-24,2023-04-09,baja,440,2002-08-29 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PREPARATORIA,FEMENINO,VOLUNTARIA
2022-01-03,2023-05-17,baja,499,1987-12-16 00:00:00,SI,OP PRENSA,PRENSA,C,TALA,6000.0,PREPARATORIA,MASCULINO,VOLUNTARIA
2022-01-03,2023-06-01,baja,514,1979-12-10 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,BAJA
